날짜,요일,식사구분,메뉴번호,메뉴명,음식분류,칼로리(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg),당류(g),식이섬유(g),콜레스테롤(mg),포화지방(g),원산지,보관방법,알레르기유발물질,비고
2026-02-23,월,조식,5,당근조림,부찬,98,32.6,22.6,5,165,13.8,4.7,32,5.4,중국산,상온보관,대두,
2026-02-23,월,조식,6,열무김치,김치류,-7,10.7,10.1,5,675,4.5,5.6,105,3.3,국내산,냉장보관,우유,
2026-02-23,월,조식,7,배추김치,김치류,-5,33,16.7,5,537,9.5,3,68,7.4,국내산,냉동보관,"밀,대두,새우",
2026-02-23,월,조식,8,과일(사과),후식/음료,112,7.1,12.3,5,810,12.2,4.9,77,3.7,국내산,상온보관,우유,
2026-02-23,월,중식,1,쌀밥,주식,325,34.9,20.7,5,833,5.7,3.5,22,2.7,중국산,상온보관,"우유,계란",
2026-02-23,월,중식,2,삼계탕국물,국/찌개,109,9.9,21.5,5,460,12.3,1.4,33,4.5,국내산,상온보관,"밀,대두,새우",
2026-02-23,월,중식,3,돼지불고기,주찬,243,12.1,6.7,33.6,842,6.4,3.3,90,6.5,국내산,냉장보관,"난류,밀,대두",
2026-02-23,월,중식,4,당근무침,부찬,54,18,19.8,5,542,13.6,0.8,51,6.4,호주산,상온보관,없음,
2026-02-23,월,중식,5,계란부침,부찬,84,11.7,5,5,209,4.3,5.3,75,4.2,국내산,상온보관,없음,
2026-02-23,월,중식,6,오이소박이,김치류,-7,20.7,15.8,5,591,5.7,0.6,10,7.7,중국산,냉동보관,없음,
2026-02-23,월,중식,7,오이소박이,김치류,30,33.6,18.4,5,562,4.3,5.8,117,1.5,국내산,상온보관,없음,
2026-02-23,월,중식,8,푸딩,후식/음료,104,7.9,3.7,9.8,766,5.2,1.2,68,3.1,중국산,상온보관,"우유,계란",
2026-02-23,월,석식,1,현미밥,주식,333,17.1,6.5,51.5,659,2.7,4.9,13,0.9,국내산,냉장보관,"대두,밀",
2026-02-23,월,석식,2,동태찌개,국/찌개,108,34,24.1,5,889,14.7,2.1,99,4.5,국내산,상온보관,"우유,계란",
2026-02-23,월,석식,3,참치전,주찬,265,21.9,22.5,5,152,9.6,2.7,91,1,국내산,냉동보관,대두,
2026-02-23,월,석식,4,고사리나물,부찬,87,6.5,17.7,5,503,12.3,1.6,68,7.6,국내산,냉장보관,없음,
2026-02-23,월,석식,5,버섯볶음,부찬,91,22.6,19.9,5,310,3.8,3.4,7,7.6,중국산,냉장보관,"밀,대두,새우",
2026-02-23,월,석식,6,깍두기,김치류,26,9.7,4.3,5,539,12.1,3.1,9,6.9,국내산,냉장보관,없음,
2026-02-23,월,석식,7,갓김치,김치류,39,12.9,7.1,5,716,5.6,4.7,65,1,국내산,냉장보관,"난류,대두,밀,새우",
2026-02-23,월,석식,8,쿨피스,후식/음료,103,5.4,3.9,11.6,195,12,2.6,102,8,국내산,냉장보관,"밀,대두,새우",
2026-02-24,화,조식,1,찰밥,주식,327,14,7.2,51.5,703,8.2,3.5,50,6.9,호주산,냉동보관,없음,
2026-02-24,화,조식,2,북어국,국/찌개,75,16.7,4.1,5,396,8.6,4.5,4,7.1,중국산,상온보관,"밀,대두,새우",
2026-02-24,화,조식,3,소시지볶음,주찬,236,15.3,16.7,6.1,587,3.2,2.5,26,3.5,국내산,상온보관,"난류,대두,밀,새우",
2026-02-24,화,조식,4,양배추무침,부찬,80,29.6,23.8,5,710,13.1,5.7,101,6.5,국내산,상온보관,"우유,계란",
2026-02-24,화,조식,5,두부부침,부찬,92,11,7.6,5,377,12.7,5.5,77,7.5,국내산,냉장보관,없음,
2026-02-24,화,조식,6,석박지,김치류,2,28.8,8.9,5,754,5,2.5,37,6.3,국내산,냉장보관,없음,
2026-02-24,화,조식,7,총각김치,김치류,-15,15.1,15.6,5,704,5.8,3.8,120,3.7,국내산,냉장보관,없음,
2026-02-24,화,조식,8,우유,후식/음료,117,17.5,15.3,5,602,13.1,4.7,67,2.7,국내산,냉동보관,"밀,계란,대두",
2026-02-24,화,중식,1,흑미밥,주식,334,26.1,8.4,38.5,662,9.7,3.6,30,0.9,중국산,냉동보관,"우유,계란",
2026-02-24,화,중식,2,콩나물해장국,국/찌개,110,21.3,3.2,5,350,11.8,0.6,104,3.5,호주산,상온보관,"대두,밀",
2026-02-24,화,중식,3,닭볶음탕,주찬,232,25.3,13.7,5,589,9.1,0.6,16,6.1,미국산,상온보관,없음,
2026-02-24,화,중식,4,깻잎무침,부찬,53,27.8,22.7,5,683,8,5.8,111,3.5,중국산,냉장보관,없음,
2026-02-24,화,중식,5,계란부침,부찬,66,34.7,17.9,5,868,8,5.3,54,3.1,국내산,냉장보관,우유,
2026-02-24,화,중식,6,열무김치,김치류,16,29.6,18.7,5,541,6.1,2,44,4.3,호주산,상온보관,"난류,밀,대두",
2026-02-24,화,중식,7,열무김치,김치류,31,8.2,12.8,5,254,2,2.2,24,5.5,호주산,냉장보관,"난류,밀,대두",
2026-02-24,화,중식,8,젤리,후식/음료,120,31.3,18.6,5,272,2.8,4.5,81,3.2,국내산,냉장보관,대두,
2026-02-24,화,석식,1,기장밥,주식,327,5.3,20.8,29.6,277,5.5,5.8,11,4.7,국내산,냉장보관,우유,
2026-02-24,화,석식,2,콩나물해장국,국/찌개,104,25.5,6.8,5,701,8.6,0.8,80,7.6,국내산,냉장보관,대두,
2026-02-24,화,석식,3,삼겹살구이,주찬,258,20.1,12.7,15.8,455,10.2,2.1,9,1.6,국내산,냉동보관,없음,
2026-02-24,화,석식,4,양배추무침,부찬,85,15.6,15.5,5,856,12.9,5.5,115,6.2,국내산,상온보관,없음,
2026-02-24,화,석식,5,버섯볶음,부찬,50,7.1,3,5,882,3.7,2.7,113,2.9,호주산,상온보관,없음,
2026-02-24,화,석식,6,석박지,김치류,0,29.3,13.7,5,502,2.7,4.9,120,4.5,국내산,냉동보관,"난류,밀,대두",
2026-02-24,화,석식,7,오이소박이,김치류,20,24,20.5,5,580,5,2.8,5,4.1,국내산,냉장보관,"난류,밀,대두",
2026-02-24,화,석식,8,과일(오렌지),후식/음료,66,27.5,16.5,5,396,6.1,3.9,46,5.8,국내산,상온보관,"우유,계란",
2026-02-25,수,조식,1,흑미밥,주식,355,17.8,17.8,30.9,598,8.7,0.7,21,5.1,국내산,냉동보관,없음,
2026-02-25,수,조식,2,김치찌개,국/찌개,99,30.9,6.1,5,352,13.8,5.9,105,4.9,미국산,냉동보관,"우유,계란",
2026-02-25,수,조식,3,고등어조림,주찬,247,34.6,4.4,17.2,466,4.9,4.7,56,0.8,미국산,냉장보관,없음,
2026-02-25,수,조식,4,가지나물,부찬,42,6.9,16,5,752,10.6,4.1,48,6.9,호주산,냉장보관,"밀,계란,대두",
2026-02-25,수,조식,5,콩조림,부찬,106,27.2,13.9,5,267,9.9,4.4,83,4.8,국내산,냉장보관,없음,
2026-02-25,수,조식,6,보쌈김치,김치류,47,14.9,19.2,5,239,3,1.6,97,4.3,국내산,냉장보관,"밀,계란,대두",
2026-02-25,수,조식,7,열무김치,김치류,-13,6.6,3.9,5,277,1.9,5.9,20,6.9,중국산,상온보관,"대두,밀",
2026-02-25,수,조식,8,식혜,후식/음료,88,24.7,13.9,5,499,14.4,2.1,45,4.2,미국산,냉동보관,"난류,밀,대두",
2026-02-25,수,중식,1,오곡밥,주식,365,33.1,15.4,23.5,650,9.1,4.8,108,3.7,중국산,냉동보관,없음,
2026-02-25,수,중식,2,두부된장찌개,국/찌개,89,27.8,16.7,5,180,9.2,4.9,28,6.1,국내산,상온보관,"대두,밀",
2026-02-25,수,중식,3,돈까스,주찬,224,10.7,22,5,440,6.8,5.7,88,1.4,호주산,상온보관,없음,
2026-02-25,수,중식,4,취나물,부찬,31,5.8,15.3,5,590,6.2,2,86,3.5,호주산,상온보관,"우유,계란",
2026-02-25,수,중식,5,표고버섯볶음,부찬,87,12.2,9.4,5,860,12.4,5.7,5,3.2,국내산,상온보관,"난류,밀,대두",
2026-02-25,수,중식,6,동치미,김치류,39,23.4,23.2,5,719,9.4,0.8,34,2.6,호주산,냉장보관,"계란,밀",
2026-02-25,수,중식,7,갓김치,김치류,40,5.5,21,5,717,8.3,1.7,119,7,국내산,상온보관,"밀,대두,새우",
2026-02-25,수,중식,8,수정과,후식/음료,113,25.4,3.2,5,198,10.2,3,53,4.1,국내산,냉장보관,"난류,밀,대두",
2026-02-25,수,석식,1,찰밥,주식,335,8,5.6,63.1,245,14.7,3.7,14,1,국내산,상온보관,"난류,대두,밀,새우",
2026-02-25,수,석식,2,설렁탕,국/찌개,99,27.7,20.2,5,184,1.7,2.7,95,7.4,호주산,상온보관,"밀,대두,새우",
2026-02-25,수,석식,3,어묵볶음,주찬,246,32.7,10.5,5.2,456,12.9,2.3,67,4.9,국내산,상온보관,없음,
2026-02-25,수,석식,4,도라지무침,부찬,31,26.4,17,5,880,8.2,2.8,18,7.8,국내산,상온보관,없음,
2026-02-25,수,석식,5,풋고추볶음,부찬,105,20.9,3.5,5,304,7.9,4.6,45,6.4,중국산,상온보관,"계란,밀",
2026-02-25,수,석식,6,깍두기,김치류,34,27.2,24.4,5,646,6.3,3.6,104,4.3,국내산,상온보관,없음,
2026-02-25,수,석식,7,갓김치,김치류,8,18.4,15.3,5,185,4.3,1.6,40,0.5,국내산,냉장보관,없음,
2026-02-25,수,석식,8,아이스크림,후식/음료,76,26.1,21.5,5,597,13.2,3.3,93,1.3,미국산,냉동보관,"밀,대두,새우",
2026-02-26,목,조식,1,기장밥,주식,340,16.4,7.6,51.5,337,14.1,5.4,47,3.9,중국산,상온보관,없음,
2026-02-26,목,조식,2,황태해장국,국/찌개,51,8.9,15.9,5,217,6.1,2.3,37,2.7,중국산,상온보관,대두,
2026-02-26,목,조식,3,계란말이,주찬,257,28.9,14.2,5,309,12.2,5.9,60,0.7,국내산,냉장보관,없음,
2026-02-26,목,조식,4,양배추무침,부찬,90,25.3,5.5,5,782,4.8,1.8,70,4.8,미국산,상온보관,"대두,밀",
2026-02-26,목,조식,5,연근조림,부찬,89,26.5,12.1,5,735,13.4,1.6,87,1,국내산,냉동보관,"난류,밀,대두",
2026-02-26,목,조식,6,보쌈김치,김치류,35,27.8,24.2,5,622,6,5.9,50,1.3,중국산,상온보관,"대두,밀",
2026-02-26,목,조식,7,파김치,김치류,17,11.4,15.4,5,183,15,1,38,1.9,국내산,상온보관,우유,
2026-02-26,목,조식,8,음료수(포카리),후식/음료,65,13.7,23.4,5,853,4.1,5.8,80,1,중국산,냉장보관,"밀,대두,새우",
2026-02-26,목,중식,1,잡곡밥,주식,372,32.4,9.8,38.5,334,1.2,3.3,71,4,호주산,냉장보관,없음,
2026-02-26,목,중식,2,삼계탕국물,국/찌개,60,30,18.3,5,564,7.9,5.3,56,1.8,중국산,냉장보관,없음,
2026-02-26,목,중식,3,멸치볶음,주찬,249,16.4,21.5,5,424,6.4,4.8,89,6.9,국내산,상온보관,"우유,계란",
2026-02-26,목,중식,4,도라지무침,부찬,30,20.4,16.2,5,170,5.8,5.8,75,7.1,국내산,냉장보관,"계란,밀",
2026-02-26,목,중식,5,연근조림,부찬,59,6.5,21.7,5,179,2,1.9,24,5.4,국내산,냉동보관,우유,
2026-02-26,목,중식,6,석박지,김치류,33,5.3,17.2,5,699,13,4.2,48,5.6,국내산,상온보관,"난류,밀,대두",
2026-02-26,목,중식,7,깍두기,김치류,23,15.1,22.9,5,756,6.3,5,94,3.9,호주산,냉장보관,없음,
2026-02-26,목,중식,8,과일(바나나),후식/음료,102,14.7,16.2,5,192,7.6,2.7,93,5.6,국내산,상온보관,"난류,대두,밀,새우",
2026-02-26,목,석식,1,현미밥,주식,355,11.8,20.6,30.6,213,4.5,3.4,81,2.4,호주산,상온보관,없음,
2026-02-26,목,석식,2,된장찌개,국/찌개,105,25.6,19.7,5,472,3.7,1,30,6.3,국내산,상온보관,"계란,밀",
2026-02-26,목,석식,3,제육볶음,주찬,266,33.9,18.9,5,270,11.5,0.9,6,3.8,국내산,상온보관,없음,
2026-02-26,목,석식,4,콩나물무침,부찬,62,21.9,17.7,5,632,14.5,1.8,47,0.7,국내산,냉동보관,"난류,밀,대두",
2026-02-26,목,석식,5,우엉조림,부찬,105,22.1,5.3,5,488,10.7,3,64,4.8,국내산,냉동보관,"밀,대두,새우",
2026-02-26,목,석식,6,파김치,김치류,16,8.2,9.3,5,547,13.2,1.1,53,5.9,국내산,냉장보관,"난류,밀,대두",
2026-02-26,목,석식,7,총각김치,김치류,44,29.2,8.5,5,242,15,4.1,94,1.2,국내산,냉장보관,없음,
2026-02-26,목,석식,8,쿨피스,후식/음료,68,32.2,17.7,5,337,8.6,5.1,117,2.8,국내산,냉장보관,대두,
2026-02-27,금,조식,1,현미밥,주식,379,32.8,20.1,16.7,331,5.1,3.3,37,7.9,중국산,냉장보관,"난류,대두,밀,새우",
2026-02-27,금,조식,2,시금치된장국,국/찌개,63,24.5,4.6,5,874,5.3,3.4,81,6.4,호주산,냉동보관,"난류,대두,밀,새우",
2026-02-27,금,조식,3,어묵볶음,주찬,276,24.3,23.6,5,616,3.9,3.7,62,3.7,국내산,냉동보관,없음,
2026-02-27,금,조식,4,양배추무침,부찬,84,18.8,6,5,176,2.5,2.2,51,3.3,국내산,냉장보관,"밀,대두,새우",
2026-02-27,금,조식,5,우엉조림,부찬,51,32.2,8.9,5,776,9.7,3,100,6.8,국내산,상온보관,"밀,대두,새우",
2026-02-27,금,조식,6,오이소박이,김치류,12,7.6,23.7,5,633,5.6,2.8,30,6.2,국내산,냉동보관,우유,
2026-02-27,금,조식,7,갓김치,김치류,-8,12.3,3.8,5,345,6.3,5.5,48,5.8,호주산,상온보관,없음,
2026-02-27,금,조식,8,식혜,후식/음료,84,20.2,19,5,851,11.1,5.2,91,1.9,호주산,상온보관,없음,
2026-02-27,금,중식,1,쌀밥,주식,346,29.6,18.5,15.3,367,10.3,5.3,23,6.2,미국산,냉장보관,"난류,밀,대두",
2026-02-27,금,중식,2,순두부찌개,국/찌개,55,34,17.3,5,569,7.9,3.7,9,3.5,국내산,상온보관,"계란,밀",
2026-02-27,금,중식,3,돼지불고기,주찬,221,30.1,13.8,5,550,10.7,1.3,52,3.3,국내산,냉동보관,"계란,밀",
2026-02-27,금,중식,4,양배추무침,부찬,71,24.1,13.8,5,649,3.3,2.8,63,5.9,중국산,상온보관,없음,
2026-02-27,금,중식,5,풋고추볶음,부찬,51,14,3.8,5,638,7.4,5.2,82,4,중국산,냉동보관,없음,
2026-02-27,금,중식,6,파김치,김치류,37,26.1,12.4,5,410,9.5,2,114,7,국내산,냉장보관,대두,
2026-02-27,금,중식,7,배추김치,김치류,4,21.5,10.8,5,161,8.3,2.3,111,5.1,호주산,상온보관,"난류,밀,대두",
2026-02-27,금,중식,8,우유,후식/음료,67,33.2,17.8,5,346,8.3,4.4,79,2.5,국내산,냉장보관,우유,
2026-02-27,금,석식,1,기장밥,주식,361,28.3,18.4,20.6,545,2.8,4.8,82,0.6,국내산,상온보관,"밀,계란,대두",금요특식
2026-02-27,금,석식,2,부대찌개,국/찌개,79,21.2,15.1,5,219,6.9,3.7,8,5.4,국내산,상온보관,우유,금요특식
2026-02-27,금,석식,3,햄볶음,주찬,254,34.8,9.7,6.9,651,3.1,2.3,105,2.2,국내산,냉동보관,없음,금요특식
2026-02-27,금,석식,4,가지나물,부찬,66,11.1,9.9,5,666,12.9,5.2,48,3.4,국내산,상온보관,"난류,밀,대두",금요특식
2026-02-27,금,석식,5,계란부침,부찬,101,26.2,16.3,5,668,4.2,0.5,13,1.9,국내산,냉장보관,"대두,밀",금요특식
2026-02-27,금,석식,6,열무김치,김치류,-5,12.4,11.9,5,398,2,1.1,104,4,국내산,냉장보관,"난류,대두,밀,새우",금요특식
2026-02-27,금,석식,7,백김치,김치류,39,13.4,12.9,5,797,7.3,5.3,65,0.7,국내산,냉장보관,대두,금요특식
2026-02-27,금,석식,8,음료수(포카리),후식/음료,107,7.6,15.3,5,709,8,4.2,87,4.4,국내산,냉동보관,"우유,계란",금요특식
2026-02-28,토,조식,1,보리밥,주식,337,5.4,23.2,26.6,159,10.9,4.9,80,7.6,중국산,냉동보관,없음,
2026-02-28,토,조식,2,갈비탕,국/찌개,104,11.5,5.6,5,493,1,4.5,58,4.3,국내산,냉장보관,"밀,대두,새우",
2026-02-28,토,조식,3,삼치구이,주찬,230,7.3,16.1,14,199,11.6,2.6,50,2.5,중국산,상온보관,없음,
2026-02-28,토,조식,4,숙주나물,부찬,59,7.9,12.1,5,551,11.6,3.6,79,2.7,국내산,상온보관,"밀,대두,새우",
2026-02-28,토,조식,5,당근조림,부찬,50,23.8,16.5,5,414,9.5,3.5,94,4.5,미국산,냉동보관,"밀,대두,새우",
2026-02-28,토,조식,6,오이소박이,김치류,1,25,8.5,5,583,8.3,1.4,120,0.6,국내산,냉장보관,"난류,밀,대두",
2026-02-28,토,조식,7,열무김치,김치류,2,8.2,16.3,5,184,6,3.3,54,3.9,미국산,상온보관,없음,
2026-02-28,토,조식,8,식혜,후식/음료,113,5.1,20.8,5,162,9.4,3.7,57,0.7,호주산,상온보관,"난류,밀,대두",
2026-02-28,토,중식,1,잡곡밥,주식,346,34.4,21.7,5,329,1.7,2.1,66,7.1,미국산,냉장보관,없음,
2026-02-28,토,중식,2,두부된장찌개,국/찌개,54,7.1,22.3,5,295,13.5,2,28,7.5,중국산,냉장보관,없음,
2026-02-28,토,중식,3,닭강정,주찬,280,22.4,3.8,39.1,761,5.9,4.9,50,4.9,국내산,냉장보관,"밀,대두,새우",
2026-02-28,토,중식,4,시금치나물,부찬,72,11.5,10.5,5,363,3.8,1.1,120,6,호주산,상온보관,"밀,계란,대두",
2026-02-28,토,중식,5,콩조림,부찬,77,10.6,16.1,5,628,6,2.5,101,3.1,국내산,냉장보관,없음,
2026-02-28,토,중식,6,석박지,김치류,2,7.9,18.6,5,165,9.8,2.4,3,4.6,국내산,상온보관,우유,
2026-02-28,토,중식,7,백김치,김치류,39,16.9,23.9,5,338,12.4,2.7,6,4.7,국내산,냉동보관,"우유,계란",
2026-02-28,토,중식,8,음료수(포카리),후식/음료,85,34.8,17.3,5,868,2.7,5,57,2.3,국내산,냉동보관,없음,
2026-02-28,토,석식,1,잡곡밥,주식,338,25.4,23.1,7.1,674,5.2,1.8,86,6,국내산,냉동보관,없음,
2026-02-28,토,석식,2,갈비탕,국/찌개,75,7.2,4.9,5,781,9,5.4,42,4.8,호주산,냉동보관,"밀,대두,새우",
2026-02-28,토,석식,3,소불고기,주찬,230,27.3,24.4,5,889,10.9,5.3,91,5.2,국내산,냉장보관,우유,
2026-02-28,토,석식,4,가지나물,부찬,84,13.6,16.2,5,180,9,4.4,87,1.1,국내산,냉장보관,없음,
2026-02-28,토,석식,5,우엉조림,부찬,105,17.9,18.8,5,155,12.7,5.6,3,1.6,국내산,상온보관,"난류,대두,밀,새우",
2026-02-28,토,석식,6,총각김치,김치류,20,29.1,23.5,5,554,10.9,0.9,12,7.6,국내산,냉동보관,"대두,밀",
2026-02-28,토,석식,7,총각김치,김치류,10,12.3,4.4,5,520,3.7,0.7,83,4.2,국내산,상온보관,"난류,밀,대두",
2026-02-28,토,석식,8,과일(사과),후식/음료,85,31.8,12.3,5,746,2.1,3.7,85,7.4,국내산,상온보관,우유,
2026-03-01,일,조식,1,잡곡밥,주식,354,7.9,18.1,39.9,211,13.7,4.2,9,6.6,국내산,냉장보관,"우유,계란",3.1절 특별식
2026-03-01,일,조식,2,삼계탕국물,국/찌개,78,7.1,9.1,5,538,8.6,4.4,27,2,중국산,냉장보관,"계란,밀",3.1절 특별식
2026-03-01,일,조식,3,낙지볶음,주찬,225,17.4,12.2,11.4,170,11.6,1.8,53,7.1,국내산,상온보관,없음,3.1절 특별식
2026-03-01,일,조식,4,가지나물,부찬,47,6.3,8.1,5,418,7.2,3.9,1,4.1,국내산,상온보관,없음,3.1절 특별식
2026-03-01,일,조식,5,당근조림,부찬,103,30.4,21.7,5,674,12.1,2.6,91,4,호주산,상온보관,없음,3.1절 특별식
2026-03-01,일,조식,6,백김치,김치류,5,28.8,13.7,5,240,4.5,3.9,104,4.8,국내산,냉동보관,없음,3.1절 특별식
2026-03-01,일,조식,7,백김치,김치류,25,10.9,20.8,5,281,8.9,4.6,46,7.9,미국산,상온보관,없음,3.1절 특별식
2026-03-01,일,조식,8,아이스크림,후식/음료,102,19.3,21.8,5,567,8,5.9,28,5.4,중국산,상온보관,없음,3.1절 특별식
2026-03-01,일,중식,1,팥밥,주식,350,32.6,7.2,38.7,315,13.8,4.7,80,4.8,국내산,냉장보관,"난류,대두,밀,새우",3.1절 특별식
2026-03-01,일,중식,2,북어국,국/찌개,91,28.1,16.7,5,253,9.9,1,53,3.2,국내산,냉동보관,"난류,대두,밀,새우",3.1절 특별식
2026-03-01,일,중식,3,닭볶음탕,주찬,273,27.1,10,18.6,253,2.6,2.3,98,2.3,호주산,상온보관,"밀,대두,새우",3.1절 특별식
2026-03-01,일,중식,4,파프리카무침,부찬,46,14.8,20.9,5,623,12.8,3.5,67,5.3,중국산,냉동보관,없음,3.1절 특별식
2026-03-01,일,중식,5,어묵조림,부찬,64,30.3,6.6,5,749,13.9,4.8,31,4.2,미국산,냉장보관,우유,3.1절 특별식
2026-03-01,일,중식,6,총각김치,김치류,44,20.8,17.3,5,447,7.3,0.6,1,3.8,미국산,상온보관,없음,3.1절 특별식
2026-03-01,일,중식,7,백김치,김치류,-8,27.9,19.7,5,288,5.5,1.6,17,2.9,호주산,상온보관,"난류,대두,밀,새우",3.1절 특별식
2026-03-01,일,중식,8,젤리,후식/음료,74,28.9,4.1,5,472,9.2,2.3,97,6.1,국내산,상온보관,"밀,대두,새우",3.1절 특별식
2026-03-01,일,석식,1,기장밥,주식,328,7,14.2,43,666,9.8,3.3,0,7.2,국내산,상온보관,대두,3.1절 특별식
2026-03-01,일,석식,2,육개장,국/찌개,72,9.8,22.9,5,713,11,6,103,0.6,호주산,냉동보관,"난류,대두,밀,새우",3.1절 특별식
2026-03-01,일,석식,3,낙지볶음,주찬,268,5.5,22.8,10.2,359,10.6,6,91,0.8,호주산,상온보관,"난류,대두,밀,새우",3.1절 특별식
2026-03-01,일,석식,4,고사리나물,부찬,64,24.3,16.5,5,154,13.1,2.1,114,6.9,국내산,냉장보관,없음,3.1절 특별식
2026-03-01,일,석식,5,멸치볶음,부찬,62,11.2,17.2,5,816,13.6,3.8,52,2.7,국내산,상온보관,"밀,계란,대두",3.1절 특별식
2026-03-01,일,석식,6,오이소박이,김치류,22,25.5,16,5,584,12,2.6,6,1.1,국내산,상온보관,없음,3.1절 특별식
2026-03-01,일,석식,7,총각김치,김치류,38,31.7,22.7,5,445,3,1.8,80,0.8,미국산,냉동보관,"우유,계란",3.1절 특별식
2026-03-01,일,석식,8,과일(사과),후식/음료,71,14.8,8.3,5,416,6.6,1.3,25,7.1,중국산,냉동보관,없음,3.1절 특별식
2026-03-02,월,조식,1,흑미밥,주식,360,30.3,20.3,14,709,12,4,112,5.3,국내산,냉장보관,"대두,밀",
2026-03-02,월,조식,2,삼계탕국물,국/찌개,61,13.3,4.4,5,461,2.3,4.5,9,5.4,호주산,냉동보관,없음,
2026-03-02,월,조식,3,닭강정,주찬,228,27.7,8.1,11.1,879,8.6,3.2,30,4.6,국내산,냉장보관,"계란,밀",
2026-03-02,월,조식,4,당근무침,부찬,90,17.9,21.9,5,725,14.2,4.6,73,2.7,국내산,냉장보관,"밀,계란,대두",
2026-03-02,월,조식,5,두부부침,부찬,54,33.7,6.4,5,465,3.9,5.6,16,3,미국산,상온보관,"대두,밀",
2026-03-02,월,조식,6,총각김치,김치류,47,18.7,25,5,518,14.8,3.3,34,1.2,중국산,냉동보관,우유,
2026-03-02,월,조식,7,오이소박이,김치류,29,26.4,3.1,5,842,8.2,1.5,94,7.4,중국산,냉동보관,우유,
2026-03-02,월,조식,8,우유,후식/음료,67,12.9,6.2,5,672,9.6,4.5,77,4.6,국내산,냉동보관,"난류,대두,밀,새우",
2026-03-02,월,중식,1,콩밥,주식,366,16.1,18.7,33.3,274,11.5,3.7,92,1,국내산,상온보관,"밀,계란,대두",
2026-03-02,월,중식,2,시금치된장국,국/찌개,86,7.9,10.1,5,225,11.7,1.8,29,2.5,국내산,냉장보관,"우유,계란",
2026-03-02,월,중식,3,생선까스,주찬,252,21.8,17.7,5,564,9,4.4,29,6.9,국내산,냉장보관,"밀,계란,대두",
2026-03-02,월,중식,4,상추무침,부찬,52,11.9,22.6,5,487,7.1,2.9,14,1.2,국내산,냉동보관,"밀,대두,새우",
2026-03-02,월,중식,5,멸치볶음,부찬,52,22.6,9.7,5,433,6.8,2.8,10,5.8,호주산,상온보관,"계란,밀",
2026-03-02,월,중식,6,갓김치,김치류,4,14.1,12.4,5,694,11.8,5,16,0.6,미국산,냉장보관,없음,
2026-03-02,월,중식,7,백김치,김치류,7,14,11.2,5,359,10.2,4,82,1.3,국내산,냉장보관,"대두,밀",
2026-03-02,월,중식,8,수정과,후식/음료,101,24.1,21.4,5,890,10.2,0.8,63,7.3,호주산,냉동보관,없음,
2026-03-02,월,석식,1,기장밥,주식,325,16.8,9.9,42.2,306,8,1.6,82,4.3,국내산,냉장보관,"난류,밀,대두",
2026-03-02,월,석식,2,육개장,국/찌개,63,7.1,8.4,5,704,10.6,4.9,114,3.4,중국산,상온보관,없음,
2026-03-02,월,석식,3,닭강정,주찬,252,29.3,6.6,18.9,873,11.7,4,75,1.7,중국산,상온보관,우유,
2026-03-02,월,석식,4,깻잎무침,부찬,48,13.3,13.8,5,358,3.6,1.6,13,6.9,국내산,상온보관,우유,
2026-03-02,월,석식,5,호박볶음,부찬,96,24.1,6.1,5,665,1.9,0.7,42,1.3,국내산,상온보관,없음,
2026-03-02,월,석식,6,백김치,김치류,16,5.4,10.8,5,690,3.9,5.1,114,2.5,국내산,상온보관,대두,
2026-03-02,월,석식,7,파김치,김치류,29,33.3,18.1,5,750,1.1,1.7,3,3.4,국내산,상온보관,대두,
2026-03-02,월,석식,8,아이스크림,후식/음료,71,21.6,13.6,5,166,12.8,0.6,71,2.9,국내산,냉장보관,"우유,계란",
2026-03-03,화,조식,1,콩밥,주식,377,25.7,11.2,43.3,601,8.2,5.3,110,7.3,국내산,냉동보관,대두,
2026-03-03,화,조식,2,삼계탕국물,국/찌개,97,13.3,19.1,5,207,3.3,5.5,31,6.2,미국산,냉장보관,없음,
2026-03-03,화,조식,3,어묵볶음,주찬,257,13.3,11.9,24.2,204,5,3.9,113,1.4,미국산,냉장보관,"난류,대두,밀,새우",
2026-03-03,화,조식,4,고사리나물,부찬,72,34.7,17.6,5,619,11.8,4.3,6,6,국내산,냉장보관,"대두,밀",
2026-03-03,화,조식,5,멸치볶음,부찬,109,33.6,4.2,5,479,9.3,5.1,24,2.2,국내산,냉장보관,"난류,밀,대두",
2026-03-03,화,조식,6,석박지,김치류,49,5.5,16.4,5,513,12,0.6,44,5.9,국내산,냉동보관,우유,
2026-03-03,화,조식,7,배추김치,김치류,28,21.3,3.9,5,868,7.2,1.7,33,4.5,국내산,상온보관,"대두,밀",
2026-03-03,화,조식,8,과일(사과),후식/음료,107,27.7,16.4,5,691,1.5,5.3,65,4.8,국내산,상온보관,없음,
2026-03-03,화,중식,1,쌀밥,주식,350,20.9,12.4,38.7,687,6.6,1.6,7,1.7,국내산,상온보관,"난류,밀,대두",
2026-03-03,화,중식,2,순두부찌개,국/찌개,77,17.5,22.3,5,305,10.4,3.8,76,4,국내산,상온보관,"난류,밀,대두",
2026-03-03,화,중식,3,참치전,주찬,248,13.3,14.5,16.1,484,7.4,1.8,70,1.6,국내산,냉장보관,없음,
